compound_id,method,hits_at_50,best_positive_rank
XWBNXNPYMCYTKF-UHFFFAOYSA-N,Structure feature baseline,0,1020
WNDCTLIKRNTCDE-UHFFFAOYSA-N,Structure feature baseline,0,655
ZGVSETXHNHBTRK-UHFFFAOYSA-N,Structure feature baseline,0,2169
LFCLOHSLUHSPEJ-UHFFFAOYSA-N,Structure feature baseline,2,39
UQOYDNQRPUUIKJ-UHFFFAOYSA-N,Structure feature baseline,0,968
WDHIKONIOJKMIK-UHFFFAOYSA-N,Structure feature baseline,0,645
DKRCUZBPFFXPOH-UHFFFAOYSA-N,Structure feature baseline,0,271
GGDGZWYSRCCZCN-UHFFFAOYSA-N,Structure feature baseline,0,1203
PGNDFLBLBKYBKF-UHFFFAOYSA-N,Structure feature baseline,0,1577
NRIMEZOCNMKQSR-UHFFFAOYSA-N,Structure feature baseline,0,452
ZPUNCPSNGRZUHD-UHFFFAOYSA-N,Structure feature baseline,0,903
GWGWFJVCLBYDJO-UHFFFAOYSA-N,Structure feature baseline,0,317
GOUSTJJHWQTFOM-UHFFFAOYSA-N,Structure feature baseline,0,931
MEPNCUUWOWMCAO-UHFFFAOYSA-N,Structure feature baseline,0,333
AKQBNAFUESWKKZ-UHFFFAOYSA-N,Structure feature baseline,0,117
GJFCSAPFHAXMSF-UHFFFAOYSA-N,Structure feature baseline,0,138
FXRVODNIFPZSEC-UHFFFAOYSA-N,Structure feature baseline,0,1654
VVTMKBLMMXYZSE-UHFFFAOYSA-N,Structure feature baseline,1,11
PBHSOJUZLXANQJ-UHFFFAOYSA-N,Structure feature baseline,0,748
LQGNWYVTRQHBJU-UHFFFAOYSA-N,Structure feature baseline,0,515
VXBAJLGYBMTJCY-UHFFFAOYSA-N,Structure feature baseline,0,1387
DIEFBZIBAMQSTO-UHFFFAOYSA-N,Structure feature baseline,0,1242
GZNRZFRYGSRNHK-UHFFFAOYSA-N,Structure feature baseline,0,837
KHZYQDIAJQXNLP-UHFFFAOYSA-N,Structure feature baseline,1,26
SHWFGONBANDCFI-UHFFFAOYSA-N,Structure feature baseline,0,226
HLSYRBYRACAEMU-UHFFFAOYSA-N,Structure feature baseline,0,1745
BFRZMYJWSHJEMH-UHFFFAOYSA-N,Structure feature baseline,0,1626
GAQAGODUYRFLRV-UHFFFAOYSA-N,Structure feature baseline,0,2217
MPPQDHWOBDPWBA-UHFFFAOYSA-N,Structure feature baseline,0,75
WSWVHLKYNCXFDO-UHFFFAOYSA-N,Structure feature baseline,0,506
BLYYPNQZTZEWTP-UHFFFAOYSA-N,Structure feature baseline,0,230
TVZIUXQPZHRKNW-UHFFFAOYSA-N,Structure feature baseline,0,374
KRLGTOSUQAGBGB-UHFFFAOYSA-N,Structure feature baseline,0,598
WAWIENOYLSZDBE-UHFFFAOYSA-N,Structure feature baseline,0,2025
ZWPWZUAWVZZXKQ-UHFFFAOYSA-N,Structure feature baseline,0,1868
JXDQQZIUNJLWGN-UHFFFAOYSA-N,Structure feature baseline,0,2361
UBQIBHCSXWEBCO-UHFFFAOYSA-N,Structure feature baseline,1,43
PIHPJVYIFVPDKT-UHFFFAOYSA-N,Structure feature baseline,0,1657
